station,lat,lon
twdb000,28.453,-97.448
twdb001,28.455,-97.324
twdb002,28.339,-97.695
twdb003,28.341,-97.57
twdb004,28.344,-97.446
twdb005,28.345,-97.322
twdb006,28.347,-97.197
twdb007,28.228,-97.816
twdb008,28.23,-97.692
twdb009,28.232,-97.568
twdb010,28.234,-97.444
twdb011,28.236,-97.319
twdb012,28.238,-97.195
twdb013,28.24,-97.071
twdb014,28.114,-98.062
twdb015,28.116,-97.938
twdb016,28.118,-97.814
twdb017,28.121,-97.689
twdb018,28.123,-97.565
twdb019,28.125,-97.441
twdb020,28.126,-97.317
twdb021,28.128,-97.193
twdb022,28.13,-97.069
twdb023,27.999,-98.307
twdb024,28.001,-98.183
twdb025,28.004,-98.059
twdb026,28.007,-97.935
twdb027,28.009,-97.811
twdb028,28.011,-97.687
twdb029,28.013,-97.563
twdb030,28.015,-97.439
twdb031,28.017,-97.315
twdb032,28.019,-97.191
twdb033,28.021,-97.067
twdb034,27.892,-98.18
twdb035,27.895,-98.056
twdb036,27.897,-97.932
twdb037,27.899,-97.809
twdb038,27.902,-97.685
twdb039,27.904,-97.561
twdb040,27.906,-97.437
twdb041,27.908,-97.313
twdb042,27.909,-97.189
twdb043,27.911,-97.065
twdb044,27.913,-96.941
twdb045,27.785,-98.053
twdb046,27.788,-97.93
twdb047,27.79,-97.806
twdb048,27.792,-97.682
twdb049,27.794,-97.558
twdb050,27.796,-97.435
twdb051,27.798,-97.311
twdb052,27.8,-97.187
twdb053,27.802,-97.063
twdb054,27.803,-96.94
twdb055,27.805,-96.816
twdb056,27.676,-98.051
twdb057,27.678,-97.927
twdb058,27.68,-97.803
twdb059,27.683,-97.68
twdb060,27.685,-97.556
twdb061,27.687,-97.432
twdb062,27.689,-97.309
twdb063,27.691,-97.185
twdb064,27.692,-97.062
twdb065,27.694,-96.938
twdb066,27.695,-96.814
twdb067,27.569,-97.924
twdb068,27.571,-97.801
twdb069,27.573,-97.677
twdb070,27.575,-97.554
twdb071,27.577,-97.43
twdb072,27.579,-97.307
twdb073,27.581,-97.183
twdb074,27.583,-97.06
twdb075,27.584,-96.936
twdb076,27.586,-96.812
twdb077,27.587,-96.689
twdb078,27.461,-97.798
twdb079,27.464,-97.675
twdb080,27.466,-97.551
twdb081,27.468,-97.428
twdb082,27.47,-97.305
twdb083,27.472,-97.181
twdb084,27.473,-97.058
twdb085,27.475,-96.934
twdb086,27.476,-96.811
twdb087,27.352,-97.796
twdb088,27.354,-97.672
twdb089,27.356,-97.549
twdb090,27.358,-97.426
twdb091,27.36,-97.302
twdb092,27.362,-97.179
twdb093,27.364,-97.056
twdb094,27.365,-96.933
twdb095,27.242,-97.793
twdb096,27.245,-97.67
twdb097,27.247,-97.547
twdb098,27.249,-97.424
twdb099,27.251,-97.3
twdb100,27.135,-97.668
twdb101,27.137,-97.544
twdb102,27.139,-97.421
twdb103,28.792,-96.581
twdb104,28.794,-96.456
twdb105,28.795,-96.332
twdb106,28.682,-96.704
twdb107,28.683,-96.58
twdb108,28.684,-96.455
twdb109,28.685,-96.33
twdb110,28.686,-96.206
